X,Y
6.0617,22.71479275435673
0.8484,5.357601580970488
4.5454,18.174955992446368
0.9121,6.858597503032284
7.2004,27.09388856895952
5.9741,23.76048367679512
0.46,5.530418905143576
1.4707,7.865855551747516
1.7168,8.615071814046079
4.3747,18.058419911239277
8.9679,32.37487032749361
8.129,28.361973041254856
9.8003,33.98019149960109
8.0987,26.53529118801922
3.7626,16.25167911679491
9.0635,33.77020933765432
8.9205,31.811052715319335
6.5869,25.374411269058648
2.0163,10.137306886291848
6.5196,23.3116226174794
1.1587,8.109031817755511
0.5148,7.10992402923434
5.4064,19.89756494878262
0.3668,4.777720161157864
7.2225,24.864321049319656
9.1093,29.491694626896702
1.732,9.834730222029185
9.0116,29.621085503095017
5.9564,24.42739928566825
3.3762,15.706053279763474
1.3441,7.632663814385397
0.7846,6.316577763490158
0.665,5.176801116577693
2.5244,11.322366983544953
3.7454,15.413901000933254
4.0895,16.34713519031609
3.2235,12.25213426706697
6.7157,24.003012444278387
6.44,23.514384301577337
9.9664,35.28940754901731
5.5385,21.034519009366047
3.2005,12.611871863429664
5.1209,18.11116057580956
4.2711,16.859736548156146
3.408,13.470035411133324
7.9158,27.872624502647906
5.5191,20.34385712906979
5.8304,21.8155592817216
1.1959,7.41075277250595
5.7652,20.86011362943016
1.1347,8.73325253013243
5.1134,18.78989484615458
2.0498,9.82707953078866
9.8689,33.075703044998185
0.3735,5.5975408272231215
2.2211,10.88245032766394
0.5168,5.20174786559214
0.5756,5.775660070325705
5.5435,21.24327390506257
2.8484,13.740246628924842
4.9442,19.37589802903639
4.5914,17.758890150827003
3.232,13.97502152577034
7.7715,26.757008214992165
0.9029,8.555336996047666
5.9241,23.02805612557352
3.9729,15.09181964596014
6.331,22.34037602069761
7.5061,27.113054341665286
2.0991,9.65375016768254
5.9089,21.97003944932269
9.8996,34.63139083187309
9.6245,33.94713174985977
2.265,12.23876460407326
0.5808,6.576322154548904
8.9957,32.07584861970418
9.693,32.37398814424159
8.1546,29.65281653110755
5.9029,22.295393801475274
9.2084,32.5291348410862
6.4547,23.04375269180568
0.3689,3.583513095216225
5.0589,19.47025793216663
1.9524,11.593163803165249
6.5761,25.127655436586004
7.9986,29.105499841956224
6.9816,25.078340904782284
1.1987,7.845483683710755
7.9942,28.02620244637245
7.973,27.692521108098475
6.5998,25.23951721544947
4.9518,20.264747440185584
2.8863,12.537951851392217
2.288,11.454654830692307
1.2805,7.39821774880849
0.8849,8.205200492814077
8.9552,31.806371187988216
3.7427,15.8618768809321
5.3346,19.47109916033809
1.3682,8.06756320295159
4.5607,17.247603772567683
8.686,29.28802676894136
1.2916,7.687828697014554
9.9972,34.809366299200285
8.062,29.386413907944423
1.1484,6.66030168691776
2.6868,12.73297370120273
4.7417,18.426199046714967
7.7513,26.3352480535158
8.2254,29.184191326912543
3.7646,16.21287648298777
8.6847,30.40473009927356
5.4272,19.534388320852177
8.7737,30.14847270005918
3.99,18.0274954697117
7.6023,26.255041854107557
1.7089,8.917676742713974
1.4086,9.108909777147158
9.8728,33.88579231407191
7.5338,26.454397998371512
4.3195,16.98681837613046
9.2953,33.89199288815912
6.2756,21.90612640692063
9.0416,29.75792130158458
1.0112,7.928524376944441
9.0535,29.720449117405703
0.6356,7.702677673095522
2.7135,12.815319492166603
2.6924,13.605668426412532
8.6707,30.50613018628274
0.3594,3.958530105373856
3.8817,15.347536496640007
0.7057,5.872943364709351
0.1135,6.018200814076441
7.0197,25.602700154594437
8.3244,29.244778837195376
9.2469,31.93722116970147
1.9579,11.468205063224971
6.7189,24.038631473008923
9.2087,31.81078030586491
3.6772,14.384663222294428
3.9654,16.43766272820479
6.6367,21.20686770700076
7.4544,25.78012256143106
3.5816,12.769333433646128
4.9262,18.89818036841415
5.3211,22.128302344901083
6.9094,25.070925346377702
1.5286,7.93444310620817
5.2451,22.336983114180395
2.4015,11.04597042697303
4.0873,15.908733707189311
7.7641,27.22970687210048
5.3577,19.973924136220617
9.6362,33.52211797273041
1.0717,6.571581769619858
1.7854,9.33333193770112
2.851,12.574271576736065
3.1898,14.579217089342634
9.5061,31.916932356048783
7.0686,26.626304247989854
8.0812,29.41289559044567
1.9229,9.163084460263136
6.0315,21.92567827680999
9.9051,34.47422858978676
9.0757,31.908991489626317
6.334,24.384158991037527
3.2866,14.412289954417147
4.6869,17.16223201820896
4.6866,17.506211758292007
0.9129,5.770355545136365
7.6079,25.44438077198547
1.3936,9.287880669286972
4.7221,20.17650453876635
8.5546,32.06721558523828
